City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
389,praia da vitoria,PT,57.99,light rain,38.73,-27.07,Hotel Branco I
392,marawi,PH,75.99,overcast clouds,8.0,124.29,Derogongan Residence
396,mobile,US,60.01,few clouds,30.78,-88.2,Days Inn by Wyndham North Mobile
400,kapit,MY,73.31,overcast clouds,2.02,112.93,Hotel Meligai Kapit
405,morro bay,US,68.0,clear sky,35.37,-120.85,Inn at Morro Bay
408,tuy hoa,VN,70.21,light rain,13.08,109.3,CenDeluxe Hotel Tuy Hoa
410,antofagasta,CL,70.0,scattered clouds,-23.65,-70.4,Holiday Inn Express Antofagasta
412,pimampiro,EC,72.07,light rain,0.4,-77.97,Jireh Casa Hostal
413,makakilo city,US,75.2,clear sky,21.35,-158.09,Marriott's Ko Olina Beach Club
417,valence,ES,51.01,few clouds,39.47,-0.38,Only YOU Hotel València
419,muroto,JP,55.94,few clouds,33.28,134.15,Oota Ryokan
420,campbell river,CA,44.01,mist,50.02,-125.24,Ramada by Wyndham Campbell River
422,bud,US,41.0,scattered clouds,39.45,-86.18,
426,springbok,ZA,59.09,clear sky,-29.66,17.89,Undulata Country Lodge
427,nur,PL,46.0,overcast clouds,52.67,22.32,Agroturystyka nad Bugiem u Krysi
428,colesberg,ZA,69.96,clear sky,-30.72,25.1,Bhelekazi Guesthouse
429,kalagarh,IN,60.69,clear sky,29.5,78.75,Ram Medical Home
430,bowen,AU,68.0,overcast clouds,-20.02,148.23,Castle Motor Lodge Motel
431,foca,TR,57.2,few clouds,38.67,26.76,Huri&Nuri Hotel
433,benguela,AO,74.97,overcast clouds,-12.58,13.41,Hotel Praia Morena
435,lastoursville,GA,73.54,few clouds,-0.81,12.73,Hotel Tchenga
436,rosarito,MX,66.2,clear sky,32.33,-117.03,Hotel Festival Plaza Rosarito
438,barranca,PE,71.53,overcast clouds,-10.75,-77.77,El Olivar Hospedaje
439,peniche,PT,51.01,broken clouds,39.36,-9.38,Hotel Star inn Peniche
441,boende,CD,72.61,light rain,-0.22,20.87,
443,san patricio,US,55.0,overcast clouds,28.02,-97.52,"Motel 6 Sinton, TX"
447,tianpeng,CN,45.0,broken clouds,30.99,103.94,Shuangliu Love Home Business Hotel
448,la palma,US,71.6,clear sky,33.85,-118.05,La Quinta Inn & Suites by Wyndham Buena Park
449,ballina,AU,73.4,overcast clouds,-28.87,153.57,Ramada Hotel & Suites by Wyndham Ballina Byron
450,my tho,VN,75.2,few clouds,10.35,106.35,Sông Tiền Annex Hotel
451,matay,EG,58.01,clear sky,28.42,30.78,Nag Aespen
452,moindou,NC,64.4,clear sky,-21.69,165.68,Gite de la RYAWA
456,bunia,CD,64.27,clear sky,1.57,30.25,Gold Star International Hotel
