City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
153,kodiak,US,2020-12-05 19:18:57,57.79,-152.41,26.6,63,20,14.99,few clouds
154,coahuayana,MX,2020-12-05 19:18:57,18.73,-103.68,78.8,61,40,5.82,scattered clouds
155,celestun,MX,2020-12-05 19:18:58,20.87,-90.4,80.02,76,31,10.38,scattered clouds
156,belen,TR,2020-12-05 19:18:58,36.49,36.22,51.8,71,40,5.82,scattered clouds
157,barrow,US,2020-12-05 19:15:43,71.29,-156.79,8.6,71,75,25.28,broken clouds
158,yellowknife,CA,2020-12-05 19:17:30,62.46,-114.35,23.0,92,90,3.2,fog
159,avarua,CK,2020-12-05 19:16:46,-21.21,-159.78,80.6,83,94,9.17,overcast clouds
160,grindavik,IS,2020-12-05 19:18:58,63.84,-22.43,26.6,100,90,8.05,snow
161,nome,US,2020-12-05 19:18:58,64.5,-165.41,17.6,67,90,11.41,overcast clouds
162,emba,KZ,2020-12-05 19:18:58,48.83,58.14,0.68,91,0,9.4,clear sky
163,georgetown,MY,2020-12-05 19:18:58,5.41,100.34,80.6,74,20,5.82,few clouds
164,ilhabela,BR,2020-12-05 19:18:58,-23.78,-45.36,73.78,87,100,10.56,overcast clouds
165,beloha,MG,2020-12-05 19:18:58,-25.17,45.05,69.31,73,96,12.73,overcast clouds
166,tiksi,RU,2020-12-05 19:18:58,71.69,128.87,-15.39,87,57,6.91,broken clouds
167,pevek,RU,2020-12-05 19:18:58,69.7,170.31,-0.18,89,0,7.72,clear sky
168,sanchi,IN,2020-12-05 19:18:58,23.48,77.73,62.6,77,0,3.36,haze
169,fare,PF,2020-12-05 19:18:58,-16.7,-151.02,81.12,76,100,19.51,overcast clouds
170,port hardy,CA,2020-12-05 19:15:03,50.7,-127.42,51.8,66,75,14.18,broken clouds
171,bredasdorp,ZA,2020-12-05 19:18:59,-34.53,20.04,64.4,82,91,14.99,overcast clouds
172,bathsheba,BB,2020-12-05 19:18:59,13.22,-59.52,86.0,66,20,18.34,few clouds
173,qaanaaq,GL,2020-12-05 19:18:59,77.48,-69.36,-13.07,68,0,7.61,clear sky
174,faanui,PF,2020-12-05 19:18:59,-16.48,-151.75,79.95,79,100,19.28,light rain
175,shingu,JP,2020-12-05 19:18:59,33.73,135.98,44.58,68,0,5.08,clear sky
176,ayagoz,KZ,2020-12-05 19:18:59,47.97,80.44,12.99,95,82,5.01,broken clouds
177,aktau,KZ,2020-12-05 19:18:59,43.65,51.2,15.8,72,0,13.42,clear sky
178,culebra,PR,2020-12-05 19:18:59,18.3,-65.3,86.0,48,1,10.29,clear sky
179,imeni morozova,RU,2020-12-05 19:18:59,59.98,31.04,36.0,88,100,11.18,overcast clouds
180,manta,EC,2020-12-05 19:18:59,-0.95,-80.73,80.6,69,90,14.99,overcast clouds
181,hyeres,FR,2020-12-05 19:18:59,43.12,6.12,46.99,81,0,4.7,clear sky
182,ulagan,RU,2020-12-05 19:18:59,50.63,87.96,1.02,76,0,1.74,clear sky
183,goundam,ML,2020-12-05 19:18:59,16.41,-3.67,83.26,16,4,5.66,clear sky
184,hukuntsi,BW,2020-12-05 19:19:00,-24.0,21.75,81.93,35,61,10.8,broken clouds
185,la rioja,ES,2020-12-05 19:19:00,42.25,-2.5,44.6,75,90,11.41,overcast clouds
186,thompson,CA,2020-12-05 19:19:00,55.74,-97.86,15.8,92,90,4.7,overcast clouds
187,hofn,IS,2020-12-05 19:19:00,64.25,-15.21,26.33,86,99,10.33,overcast clouds
188,byron bay,AU,2020-12-05 19:19:00,-28.65,153.62,73.4,88,75,16.11,broken clouds
189,clyde river,CA,2020-12-05 19:19:00,70.47,-68.59,1.4,84,1,13.87,clear sky
190,cervo,ES,2020-12-05 19:19:00,43.67,-7.41,51.01,74,60,3.0,broken clouds
191,pandan,PH,2020-12-05 19:19:00,14.05,124.17,79.92,87,100,7.72,overcast clouds
192,yerofey pavlovich,RU,2020-12-05 19:19:00,53.97,121.97,3.97,91,100,1.74,overcast clouds
193,avera,US,2020-12-05 19:19:00,33.19,-82.53,59.0,44,1,9.17,clear sky
194,karpathos,GR,2020-12-05 19:19:00,35.51,27.21,60.8,77,0,3.36,clear sky
195,floro,NO,2020-12-05 19:19:00,61.6,5.03,35.6,69,0,9.17,clear sky
196,kutum,SD,2020-12-05 19:19:00,14.2,24.67,68.16,24,0,7.96,clear sky
197,christchurch,NZ,2020-12-05 19:15:32,-43.53,172.63,57.0,81,5,4.7,clear sky
198,mubi,NG,2020-12-05 19:19:01,10.27,13.26,77.4,20,0,5.46,clear sky
199,wadi maliz,TN,2020-12-05 19:19:01,36.47,8.55,51.8,71,40,9.17,light rain
200,thai nguyen,VN,2020-12-05 19:19:01,21.59,105.84,55.4,66,0,2.24,clear sky
201,stege,DK,2020-12-05 19:19:01,54.99,12.28,39.99,88,100,1.01,overcast clouds
202,totness,SR,2020-12-05 19:19:01,5.88,-56.32,83.7,69,98,9.91,overcast clouds
203,flinders,AU,2020-12-05 19:19:01,-34.58,150.86,69.8,52,40,16.11,scattered clouds
204,saint-denis,FR,2020-12-05 19:19:01,48.92,2.33,43.0,81,90,12.75,overcast clouds
205,leshukonskoye,RU,2020-12-05 19:19:01,64.9,45.76,28.33,97,100,10.33,overcast clouds
206,port blair,IN,2020-12-05 19:14:44,11.67,92.75,79.39,76,0,11.43,clear sky
207,port antonio,JM,2020-12-05 19:19:01,18.18,-76.46,86.0,66,75,12.75,broken clouds
208,vestmannaeyjar,IS,2020-12-05 19:19:01,63.44,-20.27,32.0,90,40,23.04,scattered clouds
209,bosaso,SO,2020-12-05 19:19:02,11.28,49.18,77.34,70,18,1.95,few clouds
210,guerrero negro,MX,2020-12-05 19:19:02,27.98,-114.06,70.99,21,0,1.99,clear sky
211,rundu,NA,2020-12-05 19:19:02,-17.93,19.77,76.66,62,68,3.4,broken clouds
212,mbandaka,CD,2020-12-05 19:19:02,0.05,18.26,73.29,92,100,8.21,moderate rain
213,riverton,US,2020-12-05 19:16:13,40.52,-111.94,39.99,55,1,0.94,clear sky
214,genhe,CN,2020-12-05 19:15:18,50.78,121.52,-1.34,91,100,1.3,overcast clouds
215,mount gambier,AU,2020-12-05 19:19:02,-37.83,140.77,51.8,76,75,11.41,broken clouds
216,qui nhon,VN,2020-12-05 19:15:18,13.77,109.23,69.4,90,99,13.94,light rain
